,ell,TT,TE,EE,BB,KK
121,121,1.4446923e-12,-1.5506267e-14,4.412519e-16,2.0168573e-18,1.4003931999999998e-19
122,122,1.4355436999999999e-12,-1.5485953999999998e-14,4.3771672e-16,2.0180943999999996e-18,1.3918575999999998e-19
123,123,1.4265292999999998e-12,-1.5459644e-14,4.3406678e-16,2.0193663e-18,1.3833838e-19
124,124,1.4176432999999999e-12,-1.5427392e-14,4.3030301e-16,2.0206742e-18,1.3749721e-19
125,125,1.4088770999999999e-12,-1.5389313e-14,4.2643226e-16,2.0220182e-18,1.3666224999999998e-19
126,126,1.4002284e-12,-1.5345492e-14,4.224552e-16,2.0233995e-18,1.3583352e-19
127,127,1.3916892e-12,-1.5295981e-14,4.1837827e-16,2.0248183e-18,1.3501104e-19
128,128,1.3832548e-12,-1.5240893e-14,4.1420196e-16,2.0262755e-18,1.3419485e-19
129,129,1.3749233e-12,-1.51803065e-14,4.0993237e-16,2.0277712e-18,1.3338493e-19
130,130,1.3666877e-12,-1.5114275999999998e-14,4.0556976e-16,2.029306e-18,1.3258136e-19
131,131,1.358541e-12,-1.5042906e-14,4.0111992999999996e-16,2.0308805e-18,1.3178413e-19
132,132,1.3504848e-12,-1.49662765e-14,3.9658831999999996e-16,2.0324945999999998e-18,1.3099326999999998e-19
133,133,1.3425102e-12,-1.4884490999999998e-14,3.9197493e-16,2.0341489999999998e-18,1.3020883e-19
134,134,1.3346165e-12,-1.4797602e-14,3.8729009e-16,2.0358436e-18,1.2943084e-19
135,135,1.3267980999999999e-12,-1.470576e-14,3.8253084999999997e-16,2.0375785e-18,1.2865924000000001e-19
136,136,1.3190542000000001e-12,-1.4608989e-14,3.7770461999999996e-16,2.0393538e-18,1.2789401e-19
137,137,1.3113797e-12,-1.4507386e-14,3.7281335e-16,2.0411696e-18,1.2713511999999998e-19
138,138,1.3037716e-12,-1.4401071e-14,3.6786385999999997e-16,2.0430254999999997e-18,1.2638249e-19
139,139,1.2962252e-12,-1.4290136e-14,3.628578e-16,2.0449215e-18,1.2563606e-19
140,140,1.2887424999999998e-12,-1.4174672e-14,3.5779913999999997e-16,2.0468576000000002e-18,1.2489586e-19
141,141,1.2813165e-12,-1.4054786999999999e-14,3.5269629999999997e-16,2.0488328000000002e-18,1.2416182e-19
142,142,1.2739450999999998e-12,-1.3930543999999999e-14,3.475481e-16,2.0508472999999998e-18,1.234338e-19
143,143,1.2666283e-12,-1.3802072e-14,3.4236023e-16,2.0529003e-18,1.2271172999999998e-19
144,144,1.2593596e-12,-1.3669448e-14,3.371381e-16,2.0549914999999998e-18,1.2199554e-19
145,145,1.2521391999999999e-12,-1.353273e-14,3.3188242e-16,2.0571197e-18,1.2128515e-19
146,146,1.2449589000000002e-12,-1.3392057e-14,3.2660042e-16,2.0592850000000003e-18,1.205805e-19
147,147,1.237817e-12,-1.3247458999999999e-14,3.212968e-16,2.061486e-18,1.1988148999999998e-19
148,148,1.2307101e-12,-1.3099051e-14,3.1597393999999997e-16,2.063722e-18,1.19188144e-19
149,149,1.2236346e-12,-1.2946898999999999e-14,3.1063613e-16,2.0659921999999997e-18,1.1850035e-19
150,150,1.2165866999999999e-12,-1.2791066999999999e-14,3.0528748e-16,2.0682958e-18,1.1781807e-19
151,151,1.2095609e-12,-1.2631655999999999e-14,2.9993182e-16,2.0706316e-18,1.1714127599999999e-19
152,152,1.2025596e-12,-1.2468762e-14,2.9457288e-16,2.0729985e-18,1.1646996e-19
153,153,1.1955795e-12,-1.2302482e-14,2.8921606e-16,2.0753954999999996e-18,1.158041e-19
154,154,1.1886213e-12,-1.2132945e-14,2.838666e-16,2.0778214e-18,1.1514366e-19
155,155,1.1816834e-12,-1.196022e-14,2.7852550000000003e-16,2.0802750000000003e-18,1.1448864000000001e-19
156,156,1.1747684e-12,-1.1784428e-14,2.7319951999999997e-16,2.0827551e-18,1.1383901e-19
157,157,1.1678714e-12,-1.1605651e-14,2.6788935e-16,2.0852606e-18,1.13194716e-19
158,158,1.1609944999999999e-12,-1.14239855e-14,2.6260313e-16,2.0877899e-18,1.12555746e-19
159,159,1.154135e-12,-1.1239526e-14,2.5734122e-16,2.090342e-18,1.1192209999999998e-19
160,160,1.1472915e-12,-1.10523775e-14,2.5210937000000003e-16,2.0929150000000002e-18,1.1129378999999999e-19
161,161,1.1404594999999999e-12,-1.0862610999999999e-14,2.4691125e-16,2.0955085e-18,1.106708e-19
162,162,1.1336379999999999e-12,-1.0670345e-14,2.4175039e-16,2.0981204e-18,1.1005307e-19
163,163,1.126826e-12,-1.0475623999999999e-14,2.3663353999999997e-16,2.1007497e-18,1.09440556e-19
164,164,1.1200194000000002e-12,-1.0278578e-14,2.3156026e-16,2.1033947999999996e-18,1.0883323e-19
165,165,1.1132193e-12,-1.0079263e-14,2.265352e-16,2.1060546000000002e-18,1.0823101e-19
166,166,1.106423e-12,-9.877785999999999e-15,2.2156279e-16,2.1087274000000002e-18,1.0763386e-19
167,167,1.0996305e-12,-9.674235e-15,2.1664726e-16,2.111412e-18,1.0704173999999999e-19
168,168,1.0928413e-12,-9.468747e-15,2.1179263e-16,2.1141070000000002e-18,1.06454635e-19
169,169,1.0860552000000002e-12,-9.261401e-15,2.0700273000000001e-16,2.1168114e-18,1.0587249999999999e-19
170,170,1.0792719e-12,-9.052294e-15,2.0227952e-16,2.1195232999999998e-18,1.0529531e-19
171,171,1.0724897e-12,-8.841515499999999e-15,1.9762808e-16,2.1222418e-18,1.0472297e-19
172,172,1.0657114000000001e-12,-8.629168e-15,1.9305158999999999e-16,2.1249652e-18,1.0415538e-19
173,173,1.0589337000000001e-12,-8.415336e-15,1.8855314e-16,2.1276924e-18,1.03592484e-19
174,174,1.0521563000000001e-12,-8.200114999999999e-15,1.8413555999999998e-16,2.1304222e-18,1.0303424e-19
175,175,1.0453808e-12,-7.983624999999998e-15,1.7980461e-16,2.1331534e-18,1.0248062e-19
176,176,1.0386052999999999e-12,-7.765941e-15,1.7556124999999998e-16,2.1358843999999998e-18,1.0193155999999999e-19
177,177,1.0318297e-12,-7.5471452e-15,1.714108e-16,2.1386142999999997e-18,1.0138704e-19
178,178,1.0250523e-12,-7.3273345e-15,1.6735535e-16,2.1413415999999997e-18,1.00846975e-19
179,179,1.0182747000000002e-12,-7.1065854e-15,1.6339691e-16,2.1440653e-18,1.00311325e-19
180,180,1.0114965e-12,-6.8850009999999995e-15,1.5954021e-16,2.1467839999999997e-18,9.978004600000001e-20
181,181,1.0047165e-12,-6.66268e-15,1.5578832e-16,2.1494968000000003e-18,9.9253086e-20
182,182,9.979357e-13,-6.4397026e-15,1.5214414e-16,2.1522021e-18,9.8730396e-20
183,183,9.911541299999999e-13,-6.21616e-15,1.4860900000000002e-16,2.154899e-18,9.821193e-20
184,184,9.8437047e-13,-5.9921523000000005e-15,1.4518684e-16,2.1575863e-18,9.769766e-20
185,185,9.775861e-13,-5.7677209999999996e-15,1.4188144e-16,2.160263e-18,9.718756999999999e-20
186,186,9.707997e-13,-5.5429865999999996e-15,1.3869359999999998e-16,2.1629276e-18,9.668162400000001e-20
187,187,9.640126e-13,-5.3180107000000005e-15,1.3562561e-16,2.1655791999999998e-18,9.617977499999999e-20
188,188,9.572249e-13,-5.092893e-15,1.3268125e-16,2.1682167e-18,9.568198999999999e-20
189,189,9.5043534e-13,-4.8677012999999996e-15,1.2986259e-16,2.1708388000000002e-18,9.5188256e-20
190,190,9.436452400000001e-13,-4.642529e-15,1.2717201999999999e-16,2.1734443e-18,9.469854000000001e-20
191,191,9.3685454e-13,-4.417463e-15,1.2461150000000002e-16,2.1760322e-18,9.421281e-20
192,192,9.3006206e-13,-4.1925507000000005e-15,1.2218330000000002e-16,2.1786012999999997e-18,9.373099999999999e-20
193,193,9.232679e-13,-3.9678733e-15,1.198893e-16,2.1811504e-18,9.32531e-20
194,194,9.1647446e-13,-3.7435347e-15,1.1773167999999999e-16,2.1836786e-18,9.277907e-20
195,195,9.0968066e-13,-3.5195971999999996e-15,1.1571245e-16,2.1861842e-18,9.230889e-20
196,196,9.028876e-13,-3.2961563999999998e-15,1.1383351e-16,2.1886665e-18,9.184252999999999e-20
197,197,8.960964e-13,-3.0732807e-15,1.1209685999999999e-16,2.1911239999999997e-18,9.137996999999999e-20
198,198,8.8930833e-13,-2.8510466e-15,1.1050417e-16,2.1935554999999998e-18,9.092114e-20
199,199,8.825209000000001e-13,-2.6295163999999996e-15,1.0905696e-16,2.19596e-18,9.0466024e-20
200,200,8.7573755e-13,-2.408784e-15,1.0775667e-16,2.1983362e-18,9.001458e-20
201,201,8.6895674e-13,-2.188893e-15,1.0660499500000001e-16,2.2006827e-18,8.956678000000001e-20
202,202,8.621781999999999e-13,-1.9699417e-15,1.0560316999999999e-16,2.2029983e-18,8.912259e-20
203,203,8.5539925e-13,-1.7519676e-15,1.0475255e-16,2.2052819999999997e-18,8.868195e-20
204,204,8.486219000000001e-13,-1.5350515999999999e-15,1.0405431e-16,2.2075321e-18,8.824486e-20
205,205,8.418426e-13,-1.3192601e-15,1.0350961399999999e-16,2.2097477e-18,8.781127e-20
206,206,8.350633e-13,-1.1046453e-15,1.0311934e-16,2.211927e-18,8.738114e-20
207,207,8.282826e-13,-8.9125836e-16,1.0288461e-16,2.2140694e-18,8.695439399999999e-20
208,208,8.215003600000001e-13,-6.791804299999999e-16,1.0280622999999999e-16,2.216173e-18,8.653102e-20
209,209,8.147217e-13,-4.6847953e-16,1.0288484e-16,2.2182370000000003e-18,8.611097e-20
210,210,8.079452499999999e-13,-2.5922385999999995e-16,1.0312132500000001e-16,2.2202593999999998e-18,8.569424e-20
211,211,8.011727e-13,-5.147749e-17,1.0351639e-16,2.2222393e-18,8.528076999999999e-20
212,212,7.9440683e-13,1.5469649e-16,1.0407035e-16,2.2241757e-18,8.487049e-20
213,213,7.876482999999999e-13,3.5923900000000003e-16,1.0478387999999999e-16,2.2260667e-18,8.446336000000001e-20
214,214,7.8089863e-13,5.620927499999999e-16,1.0565749e-16,2.2279114e-18,8.4059344e-20
215,215,7.741584e-13,7.6319923e-16,1.0669062e-16,2.2297083e-18,8.365843000000001e-20
216,216,7.674261e-13,9.6250157e-16,1.0788477999999999e-16,2.2314562e-18,8.32606e-20
217,217,7.6070225e-13,1.1599420999999999e-15,1.09239314e-16,2.2331537e-18,8.286583999999999e-20
218,218,7.539875499999999e-13,1.3554798e-15,1.1075352999999999e-16,2.2348000000000002e-18,8.247409e-20
219,219,7.472815499999999e-13,1.5490517e-15,1.12428665e-16,2.2363931e-18,8.2085286e-20
220,220,7.40584e-13,1.7406192e-15,1.1426394999999999e-16,2.2379324e-18,8.1699405e-20
221,221,7.3389643e-13,1.9301168e-15,1.1625861e-16,2.2394167e-18,8.1316436e-20
222,222,7.2721756e-13,2.1175193e-15,1.1841373e-16,2.2408444e-18,8.093635e-20
223,223,7.2054887e-13,2.3027569999999997e-15,1.2072752e-16,2.2422148e-18,8.055912999999999e-20
224,224,7.1389186e-13,2.4857991e-15,1.2320006e-16,2.2435268e-18,8.018472999999999e-20
225,225,7.072469999999999e-13,2.666581e-15,1.2582958e-16,2.244779e-18,7.981314000000001e-20
226,226,7.00614e-13,2.8450760999999996e-15,1.2861702e-16,2.2459703e-18,7.944433999999999e-20
227,227,6.9399405e-13,3.021233e-15,1.3156146e-16,2.2471002e-18,7.907832e-20
228,228,6.873877e-13,3.1950115e-15,1.3466112e-16,2.2481673999999998e-18,7.8715054e-20
229,229,6.807963e-13,3.3663728000000002e-15,1.3791598e-16,2.249171e-18,7.8354496e-20
230,230,6.742192999999999e-13,3.5352806999999996e-15,1.4132510000000002e-16,2.2501104e-18,7.799663e-20
231,231,6.67658e-13,3.701692e-15,1.4488581e-16,2.2509843999999996e-18,7.7641424e-20
232,232,6.6111356e-13,3.8655733e-15,1.4859808999999999e-16,2.2517922e-18,7.728887e-20
233,233,6.545855000000001e-13,4.0268856e-15,1.5246102999999998e-16,2.2525335e-18,7.693892500000001e-20
234,234,6.480740299999999e-13,4.1855914e-15,1.5647284000000001e-16,2.2532072e-18,7.659159e-20
235,235,6.415813e-13,4.3416726e-15,1.6063267e-16,2.2538126999999996e-18,7.624680999999999e-20
236,236,6.3510597e-13,4.4950885e-15,1.649396e-16,2.2543495e-18,7.5904595e-20
237,237,6.2865067e-13,4.6458077e-15,1.6939025999999998e-16,2.2548168e-18,7.556488e-20
238,238,6.22215e-13,4.793808999999999e-15,1.7398382e-16,2.2552144e-18,7.522765000000001e-20
239,239,6.1579996e-13,4.9390635e-15,1.7871783e-16,2.2555416e-18,7.4892895e-20
240,240,6.0940576e-13,5.0815293e-15,1.8359229e-16,2.2557979999999998e-18,7.456058e-20
241,241,6.030326e-13,5.2212057999999995e-15,1.8860478e-16,2.2559835999999998e-18,7.423068e-20
242,242,5.966823e-13,5.358053e-15,1.9375292999999998e-16,2.2560976e-18,7.390315e-20
243,243,5.90355e-13,5.492048e-15,1.990352e-16,2.2561396e-18,7.357796e-20
244,244,5.8405083e-13,5.6231865000000004e-15,2.0444929999999998e-16,2.2561096e-18,7.325509e-20
245,245,5.777715e-13,5.751441e-15,2.0999377e-16,2.2560075e-18,7.293450999999999e-20
246,246,5.715177700000001e-13,5.876799e-15,2.1566486e-16,2.255833e-18,7.261622999999999e-20
247,247,5.65289e-13,5.9992447e-15,2.2146195e-16,2.2555857e-18,7.23002e-20
248,248,5.590875e-13,6.1187535e-15,2.2738292e-16,2.2552658e-18,7.19864e-20
