L,TT,TE,EE,BB,PP
115,1.5002447280570832e-12,-1.547062465653309e-14,4.593625473997483e-16,2.0019952261104767e-18,4.360177350635378e-23
116,1.4901824852432326e-12,-1.548875546932315e-14,4.565785952737729e-16,2.003110215945386e-18,4.259371875279509e-23
117,1.4803805347495997e-12,-1.550029866881337e-14,4.536522596330408e-16,2.0042569246487374e-18,4.161538492763074e-23
118,1.4707674081636477e-12,-1.550593662173108e-14,4.506558953230252e-16,2.00542880196053e-18,4.0665704227927964e-23
119,1.4612673829212122e-12,-1.5504903742790467e-14,4.475361534657965e-16,2.006632907619383e-18,3.97436550620461e-23
120,1.4519480592592992e-12,-1.549757175993583e-14,4.442281248377699e-16,2.007862832016012e-18,3.884821642869841e-23
121,1.4427363103085722e-12,-1.5484165758498007e-14,4.408700271763051e-16,2.009125328616652e-18,3.797849694236167e-23
122,1.4336641116839816e-12,-1.5464691865611807e-14,4.373441992102544e-16,2.0104183167602523e-18,3.71336000427392e-23
123,1.424724215188567e-12,-1.543944896272869e-14,4.3368891503627784e-16,2.0117398243947353e-18,3.6312625580958216e-23
124,1.41592188947483e-12,-1.5407464863548176e-14,4.2994012906456856e-16,2.0130920357409385e-18,3.551483341022548e-23
125,1.4072180853119811e-12,-1.536998773828277e-14,4.2607576098286255e-16,2.0144769746098754e-18,3.47393525776155e-23
126,1.3986389340981781e-12,-1.5326935707513577e-14,4.221340889823586e-16,2.0158925878034932e-18,3.398542813883401e-23
127,1.3901586143619254e-12,-1.5278313367145518e-14,4.1805445547769684e-16,2.0173407914379603e-18,3.325237451510575e-23
128,1.381771841490787e-12,-1.5224052975123126e-14,4.1390939837884707e-16,2.01881955528449e-18,3.2539494925948145e-23
129,1.3735035588131062e-12,-1.5164207344495792e-14,4.0964719662837647e-16,2.020330697412679e-18,3.1846120535283955e-23
130,1.3653291572371564e-12,-1.5098682456658515e-14,4.0526729705333795e-16,2.021875903331058e-18,3.1171572241773146e-23
131,1.3572436048000096e-12,-1.5028338597665094e-14,4.008382993069142e-16,2.0234567339268134e-18,3.051527123744165e-23
132,1.3492707395549246e-12,-1.4952377666415724e-14,3.9630665221002335e-16,2.0250710539766604e-18,2.9876589082906923e-23
133,1.3413553550794619e-12,-1.4871815215371376e-14,3.917066472559169e-16,2.0267168317463408e-18,2.9254993081637664e-23
134,1.3335288007008932e-12,-1.478535270236239e-14,3.870393523134012e-16,2.028399080269525e-18,2.864986621808053e-23
135,1.3257863219570887e-12,-1.4694303416104415e-14,3.822887060427109e-16,2.03011565270651e-18,2.806071927072091e-23
